SEDOL,Ticker,Holdings name,Shares,Market value*,% of fund*,Sector,Market,Security depository receipt type
BKPSQY4,OCUP,Ocuphire Pharma Inc.,567684,"$2,265,059.16 ",0.000164755,Pharmaceuticals,US,---
BNGJQZ8,PRCH,Porch Group Inc.,2673021,"$2,258,702.75 ",0.000164293,Application Software,US,---
BMVR876,RENT,Rent the Runway Inc. Class A,1617196,"$2,231,730.48 ",0.000162331,Other Specialty Retail,US,---
2504113,PCTI,PCTEL Inc.,537549,"$2,225,452.86 ",0.000161874,Communications Equipment,US,---
B1LDY24,PFIE,Profire Energy Inc.,830050,"$2,224,534 ",0.000161807,Oil & Gas Equipment & Services,US,---
B8XB4X6,EARN,Ellington Residential Mortgage REIT,334462,"$2,207,449.20 ",0.000160564,Mortgage REITs,US,---
BMXDBQ2,LFMD,LifeMD Inc.,568168,"$2,193,128.48 ",0.000159523,Health Care Technology,US,---
BYQQ1Q2,SWKH,SWK Holdings Corp.,138755,"$2,185,391.25 ",0.00015896,Specialized Finance,US,---
2647773,OPOF,Old Point Financial Corp.,119700,"$2,182,131 ",0.000158723,Regional Banks,US,---
BMFZKV4,AOMR,Angel Oak Mortgage REIT Inc.,232208,"$2,164,178.56 ",0.000157417,Mortgage REITs,US,---
BF0QXG9,GTHX,G1 Therapeutics Inc.,1295502,"$2,163,488.34 ",0.000157367,Biotechnology,US,---
2160689,CSPI,CSP Inc.,139445,"$2,162,791.95 ",0.000157316,IT Consulting & Other Services,US,---
BFXC933,KOD,Kodiak Sciences Inc.,980492,"$2,157,082.40 ",0.000156901,Biotechnology,US,---
BKY65J7,LNKB,LINKBANCORP Inc.,307322,"$2,151,254 ",0.000156477,Regional Banks,US,---
BP7L2W6,GRPH,Graphite Bio Inc.,969009,"$2,151,199.98 ",0.000156473,Biotechnology,US,---
BMV6Y64,XLO,Xilio Therapeutics Inc.,739563,"$2,122,545.81 ",0.000154389,Biotechnology,US,---
BMVBW09,FOA,Finance Of America Cos. Inc. Class A,1481602,"$2,103,874.84 ",0.000153031,Commercial & Residential Mortgage Financ,US,---
BN0TRH3,FNWD,Finward Bancorp,101400,"$2,102,022 ",0.000152896,Regional Banks,US,---
BPLKTG2,DRRX,Durect Corp.,684963,"$2,095,986.78 ",0.000152457,Pharmaceuticals,US,---
BPJPN12,EP,Empire Petroleum Corp.,238346,"$2,083,144.04 ",0.000151523,Oil & Gas Exploration & Production,US,---
B7ZN8B9,GALT,Galectin Therapeutics Inc.,1189409,"$2,081,465.75 ",0.000151401,Biotechnology,US,---
BNKTVH1,ACR,ACRES Commercial Realty Corp.,245355,"$2,080,610.40 ",0.000151339,Mortgage REITs,US,---
BKPT5C8,CMCT,Creative Media & Community Trust Corp.,477630,"$2,077,690.50 ",0.000151126,Office REITs,US,---
BK74P87,ANVS,Annovis Bio Inc.,167507,"$2,077,086.80 ",0.000151082,Biotechnology,US,---
BF14BW4,QMCO,Quantum Corp.,3321825,"$2,059,531.50 ",0.000149805,"Technology Hardware, Storage & Periphera",US,---
2031923,UNB,Union Bankshares Inc./Morrisville VT,92353,"$2,059,471.90 ",0.000149801,Regional Banks,US,---
2042163,APT,Alpha Pro Tech Ltd.,462840,"$2,050,381.20 ",0.00014914,Building Products,US,---
BP6GZK1,TCBC,TC Bancshares Inc.,151263,"$2,049,613.65 ",0.000149084,Regional Banks,US,---
BPCK3Z8,USCB,USCB Financial Holdings Inc.,185252,"$2,032,214.44 ",0.000147818,Regional Banks,US,---
BGDFSM1,TZOO,Travelzoo,274335,"$2,024,592.30 ",0.000147264,Interactive Media & Services,US,---
BZ03R68,ZYNE,Zynerba Pharmaceuticals Inc.,1521801,"$2,023,995.33 ",0.00014722,Pharmaceuticals,US,---
BMZ4B74,ABEO,Abeona Therapeutics Inc.,456626,"$2,022,853.18 ",0.000147137,Biotechnology,US,---
BNYK9Y3,AVAH,Aveanna Healthcare Holdings Inc.,1391988,"$2,004,462.72 ",0.0001458,Health Care Services,US,---
BDFBQ66,VERU,Veru Inc.,1923707,"$2,000,655.28 ",0.000145523,Personal Care Products,US,---
BNNXX18,RANI,Rani Therapeutics Holdings Inc.,522155,"$1,984,189 ",0.000144325,Pharmaceuticals,US,---
BS08G23,SKLZ,Skillz Inc. Class A,241612,"$1,978,802.28 ",0.000143933,Interactive Home Entertainment,US,---
BMC5RV6,ACET,Adicet Bio Inc.,983730,"$1,967,460 ",0.000143108,Biotechnology,US,---
2031804,AXR,AMREP Corp.,115952,"$1,965,966.16 ",0.000143,Real Estate Development,US,---
BGC2LM4,CMLS,Cumulus Media Inc. Class A,422698,"$1,961,318.72 ",0.000142662,Broadcasting,US,---
