Date,Open,High,Low,Close,Adj Close,Volume
1999-05-10,134.84375,135.71875,133.53125,134.328125,86.344475,5580100
1999-06-08,133.375,133.796875,131.59375,132.25,85.008698,4895700
1999-07-08,139.0625,140.625,138.75,139.671875,90.050362,7101500
1999-08-09,130.59375,131.796875,129.75,130.09375,83.875092,5565900
1999-09-08,134.84375,136.0625,134.03125,134.8125,86.917427,6159600
1999-10-08,131.75,133.875,131.234375,133.875,86.556091,9674300
1999-11-08,137.0,138.375,136.75,138.0,89.223053,4649200
1999-12-08,141.34375,142.0625,140.5,140.71875,90.980858,4611400
2000-01-10,146.25,146.90625,145.03125,146.25,94.789207,5741700
2000-02-08,143.96875,144.5625,143.625,144.3125,93.533401,4936400
2000-03-08,136.46875,137.84375,135.03125,136.875,88.712967,11808500
2000-04-10,151.75,153.109375,150.3125,150.84375,98.014992,9624200
2000-05-08,142.75,143.375,141.84375,142.453125,92.56292,5064100
2000-06-08,147.5,147.75,146.0625,146.90625,95.45649,5723100
2000-07-10,147.875,148.90625,147.53125,147.84375,96.29184,2816100
2000-08-08,147.5,148.8125,147.5,148.6875,96.841393,3658700
2000-09-08,150.28125,150.5,149.328125,149.8125,97.57412,3518200
2000-10-09,141.3125,141.3125,139.375,140.0,91.41227,4508000
2000-11-08,144.0625,144.0625,140.5625,140.5625,91.779526,6123300
2000-12-08,137.0625,139.46875,133.875,133.96875,87.474136,10276300
2001-01-08,129.875,130.1875,127.6875,130.1875,85.265923,6625300
2001-02-08,134.800003,135.399994,133.100006,133.119995,87.186584,5943300
2001-03-08,126.599998,127.239998,126.139999,127.120003,83.256889,6055000
2001-04-09,114.0,114.989998,112.779999,114.559998,75.232788,9034300
2001-05-08,126.860001,127.099998,125.559998,126.18,82.86377,6952600
2001-06-08,127.699997,127.870003,126.139999,127.0,83.402275,8170600
2001-07-09,119.489998,120.540001,119.199997,119.699997,78.831825,8339300
2001-08-08,120.120003,121.160004,118.43,118.529999,78.061287,15183800
2001-09-10,107.699997,110.349998,107.699997,110.050003,72.47654,23408700
2001-10-08,106.269997,107.300003,105.870003,106.529999,70.421593,12970300
2001-11-08,112.870003,114.080002,111.900002,112.599998,74.434189,22563500
2001-12-10,115.849998,116.389999,114.349998,114.379997,75.610847,13862700
2002-01-08,116.790001,117.059998,115.970001,116.519997,77.290428,12683700
2002-02-08,108.629997,110.75,108.300003,110.089996,73.02523,19277800
2002-03-08,117.379997,117.900002,116.480003,116.989998,77.602226,19930100
2002-04-08,111.32,113.029999,111.230003,112.93,75.123695,16470100
2002-05-08,107.050003,109.360001,106.790001,109.010002,72.516029,27917400
2002-06-10,103.239998,104.459999,103.019997,103.739998,69.010292,18759900
2002-07-08,98.980003,99.699997,97.559998,98.07,65.466789,19118600
2002-08-08,88.419998,91.099998,87.800003,90.949997,60.713848,48339800
2002-09-09,89.099998,91.349998,88.800003,90.660004,60.52026,33998400
2002-10-08,79.809998,81.309998,78.199997,80.370003,53.891682,79531000
2002-11-08,90.529999,91.57,89.519997,89.650002,60.114296,37905400
2002-12-09,91.07,91.459999,89.480003,89.5,60.013676,36789600
2003-01-08,92.199997,92.400002,91.050003,91.389999,61.582226,38702200
2003-02-10,83.459999,84.129997,82.650002,84.010002,56.609261,45455900
2003-03-10,82.599998,82.860001,81.099998,81.32,54.796616,41014100
2003-04-08,88.300003,88.650002,87.709999,88.190002,59.665531,39712700
2003-05-08,92.519997,93.330002,92.279999,92.449997,62.547619,40570700
2003-06-09,98.769997,99.099998,97.769997,98.25,66.47168,37808500
2003-07-08,100.5,101.290001,100.169998,101.150002,68.68087,30952500
2003-08-08,98.32,98.550003,97.760002,98.279999,66.732124,27357300
2003-09-08,103.040001,103.879997,102.93,103.68,70.398735,32632800
2003-10-08,104.330002,104.389999,103.410004,104.0,70.887115,30920800
2003-11-10,105.739998,105.839996,105.010002,105.18,71.691391,25530800
2003-12-08,106.739998,107.639999,106.68,107.57,73.320435,32482900
2004-01-08,113.25,113.410004,112.769997,113.379997,77.64576,36438400
2004-02-09,114.669998,114.870003,114.290001,114.480003,78.39904,24851300
2004-03-08,116.339996,116.620003,114.910004,114.959999,78.727776,39281600
2004-04-08,115.410004,115.410004,113.739998,114.370003,78.598328,46929700
2004-05-10,109.440002,109.75,108.360001,108.830002,74.791054,75279400
2004-06-08,114.370003,114.919998,114.169998,114.860001,78.93502,32846500
2004-07-08,111.809998,112.32,111.199997,111.440002,76.864296,45291100
2004-08-09,107.019997,107.480003,106.870003,107.0,73.801857,37476300
2004-09-08,112.620003,113.059998,112.309998,112.580002,77.650551,32963100
2004-10-08,113.150002,113.769997,112.349998,112.510002,77.925323,51872600
2004-11-08,116.980003,117.230003,116.720001,117.110001,81.11129,33863800
2004-12-08,118.209999,118.82,118.010002,118.790001,82.518738,43895100
2005-01-10,118.339996,119.459999,118.339996,119.0,83.055107,56563300
2005-02-08,120.169998,120.650002,120.07,120.209999,83.899605,39263500
2005-03-08,122.669998,123.0,122.110001,122.330002,85.37925,44362000
2005-04-08,119.169998,119.209999,118.0,118.0,82.680656,63772900
